Event 2,,,,,,,,,,,,,,,Length Strata,,,Calculated or from Event 1 ,,,,,Length Strata,,,,
Event,Unique,Crew,Data Page,Date,Time,Tag Number,Fork Length (mm),Recap,Weight (lbs),Area,Area Description,Lat (WGS84),Long (WGS84),Comments,All,Small,Big,Fork Length Corrected (mm),E1 Tag Area,E1 Lat (WGS84),E1 Long (WGS84),Growth (mm),All,Small,Big,,
2,52,MA HP,4,6/17/2025,1253,,650,0,,,,64.88717,-148.84637,Gear= HL,yes,yes,,653.00,,,,,yes,yes,,,
2,53,MA HP,4,6/17/2025,1236,,578,0,,,,64.88717,-148.84637,Gear= HL,yes,,,581.00,,,,,yes,,,,
2,54,MA HP,4,6/17/2025,1252,,572,0,,,,64.88717,-148.84637,Gear= HL,yes,,,575.00,,,,,yes,,,,
2,55,MA HP,4,6/17/2025,1512,,532,0,,,,64.91041,-148.80079,Gear= HL,,,,536.00,,,,,,,,,
2,56,MA HP,4,6/17/2025,1516,,676,0,,,,64.91041,-148.80079,Gear= HL,yes,yes,,678.00,,,,,yes,yes,,,
2,57,MA HP,4,6/17/2025,1639,,434,0,,,,64.93174,-148.80209,Gear= HL,,,,439.00,,,,,,,,,
2,58,MA HP,4,6/17/2025,1644,,439,0,,,,64.93174,-148.80209,Gear= HL,,,,444.00,,,,,,,,,
2,59,MA HP,4,6/17/2025,1649,,473,0,,,,64.93174,-148.80209,Gear= HL,,,,477.00,,,,,,,,,
2,60,JS JRS,5,6/17/2025,1045,,608,0,,,,64.90049,-148.72763,Gear= HL,yes,yes,,611.00,,,,,yes,yes,,,
2,61,JS JRS,5,6/17/2025,1045,20473,1045,1,,,,64.90049,-148.72763,RECAP;  Gear= HL,yes,,yes,1030.00,CROA,64.9845,-148.8857,15,yes,,yes,,
2,62,JS JRS,5,6/17/2025,1100,,549,0,,,,64.89867,-148.72633,Gear= HL,,,,553.00,,,,,yes,,,,
2,63,JS JRS,5,6/17/2025,1100,,434,0,,,,64.89867,-148.72633,Gear= HL,,,,439.00,,,,,,,,,
2,64,JS JRS,5,6/17/2025,1130,18453,554,1,,,,64.89913,-148.7253,RECAP;  Gear= HL,yes,,,560.00,CROA,64.984517,-148.885511,-6,yes,,,,
2,65,JS JRS,5,6/17/2025,1130,,641,0,,,,64.89913,-148.7253,Gear= HL,yes,yes,,644.00,,,,,yes,yes,,,
2,66,JS JRS,5,6/17/2025,1215,,622,0,,,,64.89627,-148.72273,Gear= HL,yes,yes,,625.00,,,,,yes,yes,,,
2,67,JS JRS,5,6/17/2025,1215,,587,0,,,,64.89627,-148.72273,Gear= HL,yes,,,590.00,,,,,yes,,,,
2,68,JS JRS,5,6/17/2025,1215,,575,0,,,,64.89627,-148.72273,Gear= HL,yes,,,578.00,,,,,yes,,,,
2,69,JS JRS,5,6/17/2025,1245,,532,0,,,,64.89507,-148.72564,Gear= HL,,,,536.00,,,,,,,,,
2,70,JS JRS,5,6/17/2025,1245,,510,0,,,,64.89507,-148.72564,Gear= HL,,,,514.00,,,,,,,,,
2,71,JS JRS,5,6/17/2025,1245,,561,0,,,,64.89507,-148.72564,Gear= HL,yes,,,565.00,,,,,yes,,,,
2,72,JS JRS,5,6/17/2025,1320,,485,0,,,,64.89476,-148.72703,Gear= HL,,,,489.00,,,,,,,,,
2,73,JS JRS,5,6/17/2025,1320,,606,0,,,,64.89476,-148.72703,Gear= HL,yes,yes,,609.00,,,,,yes,yes,,,
2,74,JS JRS,5,6/17/2025,1410,20460,605,1,,,,64.88916,-148.73086,RECAP;  Gear= HL,yes,yes,,590.00,CROA,64.9845,-148.8857,15,yes,,,,
2,75,JS JRS,5,6/17/2025,1445,,470,0,,,,64.88797,-148.73969,Gear= HL,,,,474.00,,,,,,,,,
2,76,JS JRS,5,6/17/2025,1445,,490,0,,,,64.88797,-148.73969,Gear= HL,,,,494.00,,,,,,,,,
2,77,JS JRS,6,6/17/2025,1445,21277,580,1,,,,64.88797,-148.73969,RECAP;  Gear= HL,yes,,,578.00,CROA,64.984668,-148.881455,2,yes,,,,
2,78,JS JRS,6,6/17/2025,1515,,545,0,,,,64.88521,-148.74214,Gear= HL,,,,549.00,,,,,,,,,
2,79,JS JRS,6,6/17/2025,1515,,543,0,,,,64.88521,-148.74214,Gear= HL,,,,547.00,,,,,,,,,
2,80,JS JRS,6,6/17/2025,1515,,478,0,,,,64.88521,-148.74214,Gear= HL,,,,482.00,,,,,,,,,
2,81,JS JRS,6,6/17/2025,1515,,578,0,,,,64.88521,-148.74214,Gear= HL,yes,,,581.00,,,,,yes,,,,
2,82,JS JRS,6,6/17/2025,1515,,605,0,,,,64.88521,-148.74214,Gear= HL,yes,yes,,608.00,,,,,yes,yes,,,
2,83,JS JRS,6,6/17/2025,1540,,591,0,,,,64.88619,-148.74399,Gear= HL,yes,,,594.00,,,,,yes,,,,
2,84,JS JRS,6,6/17/2025,1540,,552,0,,,,64.88619,-148.74399,Gear= HL,yes,,,556.00,,,,,yes,,,,
2,85,JS JRS,6,6/17/2025,1540,,600,0,,,,64.88619,-148.74399,Gear= HL,yes,yes,,603.00,,,,,yes,yes,,,
2,86,JS JRS,6,6/17/2025,1540,,693,0,,,,64.88619,-148.74399,Gear= HL,yes,yes,,695.00,,,,,yes,yes,,,
2,87,JS JRS,6,6/17/2025,1550,,989,0,,,,64.88667,-148.74422,Gear= HL,yes,,yes,988.00,,,,,yes,,yes,,
2,88,JS JRS,6,6/17/2025,1625,,528,0,,,,64.88882,-148.74965,Gear= HL,,,,532.00,,,,,,,,,
2,89,JS JRS,6,6/17/2025,1625,,500,0,,,,64.88882,-148.74965,Gear= HL,,,,504.00,,,,,,,,,
2,90,AB MS,7,6/17/2025,1200,,686,0,,,,64.93941,-148.85542,Gear= FN,yes,yes,,688.00,,,,,yes,yes,,,
2,91,AB MS,7,6/17/2025,1332,,522,0,,,,64.94804,-148.80003,Gear= FN,,,,526.00,,,,,,,,,
2,92,AB MS,7,6/17/2025,1332,,667,0,,,,64.94804,-148.80003,Gear= FN,yes,yes,,669.00,,,,,yes,yes,,,
2,93,AB MS,7,6/17/2025,1700,,594,0,,,,64.95345,-148.81767,Gear= GN,yes,,,597.00,,,,,yes,,,,
2,94,AB MS,7,6/17/2025,1716,,647,0,,,,64.94804,-148.80003,corrected long; Gear= FN,yes,yes,,650.00,,,,,yes,yes,,,
2,95,AB MS,7,6/17/2025,1745,,540,0,,,,64.909,-148.80629,Gear= FN,,,,544.00,,,,,,,,,
2,96,AB MS,7,6/17/2025,1800,,244,0,,,,64.90399,-148.81201,Gear= FN,,,,251.00,,,,,,,,,
2,97,BC RS,8,6/17/2025,1322,,650,0,,,,64.91234,-148.84459,Gear= HL,yes,yes,,653.00,,,,,yes,yes,,,
2,98,BC RS,8,6/17/2025,1506,,608,0,,,,64.92962,-148.82974,Gear= HL,yes,yes,,611.00,,,,,yes,yes,,,
2,99,BC RS,8,6/17/2025,1510,,482,0,,,,64.92962,-148.82974,Gear= HL,,,,486.00,,,,,,,,,
2,100,BC RS,8,6/17/2025,1516,,613,0,,,,64.93034,-148.82814,Gear= HL,yes,yes,,616.00,,,,,yes,yes,,,
2,101,BC RS,8,6/17/2025,1525,,555,0,,,,64.93034,-148.82814,Gear= HL,yes,,,559.00,,,,,yes,,,,
2,102,BC RS,8,6/17/2025,1531,,504,0,,,,64.93209,-148.82945,Gear= HL,,,,508.00,,,,,,,,,
2,103,BC RS,8,6/17/2025,1536,,500,0,,,,64.93256,-148.82932,Gear= HL,,,,504.00,,,,,,,,,
2,104,BC RS,8,6/17/2025,1550,,485,0,,,,64.93363,-148.82712,Gear= HL,,,,489.00,,,,,,,,,
2,105,BC RS,8,6/17/2025,1650,,592,0,,,,64.952,-148.78421,Gear= HL,yes,,,595.00,,,,,yes,,,,
2,106,AB MS,9,6/18/2025,1130,,573,0,,,,64.909,-148.80629,Gear= FN,yes,,,576.00,,,,,yes,,,,
2,107,AB MS,9,6/18/2025,1130,,706,0,,,,64.909,-148.80629,Gear= FN,yes,yes,,708.00,,,,,yes,yes,,,
2,108,AB MS,9,6/18/2025,1200,,580,0,,,,64.89539,-148.8347,Gear= FN,yes,,,583.00,,,,,yes,,,,
2,109,AB MS,9,6/18/2025,1200,,537,0,,,,64.89539,-148.8347,Gear= FN,,,,541.00,,,,,,,,,
2,110,AB MS,9,6/18/2025,1200,,482,0,,,,64.89539,-148.8347,Gear= FN,,,,486.00,,,,,,,,,
2,111,AB MS,9,6/18/2025,1336,,675,0,,,,64.88775,-148.74036,Gear= HL,yes,yes,,677.00,,,,,yes,yes,,,
2,112,AB MS,9,6/18/2025,1350,,483,0,,,,64.88821,-148.73915,Gear= HL,,,,487.00,,,,,,,,,
2,113,AB MS,9,6/18/2025,1357,,466,0,,,,64.88853,-148.73534,Gear= HL,,,,471.00,,,,,,,,,
2,114,AB MS,9,6/18/2025,1405,,503,0,,,,64.88853,-148.73534,Gear= HL,,,,507.00,,,,,,,,,
2,115,AB MS,9,6/18/2025,1409,,534,0,,,,64.88853,-148.73534,Gear= HL,,,,538.00,,,,,,,,,
2,116,AB MS,9,6/18/2025,1411,,520,0,,,,64.88853,-148.73534,Gear= HL,,,,524.00,,,,,,,,,
2,117,AB MS,9,6/18/2025,1423,,616,0,,,,64.89008,-148.72972,Gear= HL,yes,yes,,619.00,,,,,yes,yes,,,
2,118,AB MS,9,6/18/2025,1507,,630,0,,,,64.88533,-148.74272,Gear= FN,yes,yes,,633.00,,,,,yes,yes,,,
2,119,AB MS,9,6/18/2025,1507,,595,0,,,,64.88533,-148.74272,Gear= FN,yes,,,598.00,,,,,yes,,,,
2,120,AB MS,9,6/18/2025,2152,,584,0,,,,64.88533,-148.74272,Gear= FN,yes,,,587.00,,,,,yes,,,,
2,121,MA HP,10,6/18/2025,1030,,515,0,,,,64.89191,-148.82685,Gear= HL,,,,519.00,,,,,,,,,
2,122,MA HP,10,6/18/2025,1034,,497,0,,,,64.89191,-148.82685,Gear= HL,,,,501.00,,,,,,,,,
2,123,MA HP,10,6/18/2025,1040,,673,0,,,,64.89191,-148.82685,Gear= HL,yes,yes,,675.00,,,,,yes,yes,,,
2,124,MA HP,10,6/18/2025,1051,,645,0,,,,64.89191,-148.82685,Gear= HL,yes,yes,,648.00,,,,,yes,yes,,,
2,125,MA HP,10,6/18/2025,1103,,600,0,,,,64.89191,-148.82685,Gear= HL,yes,yes,,603.00,,,,,yes,yes,,,
2,126,MA HP,10,6/18/2025,1224,,867,0,,,,64.89131,-148.78623,Gear= HL,yes,,yes,867.00,,,,,yes,,yes,,
2,127,MA HP,10,6/18/2025,1230,,545,0,,,,64.89131,-148.78623,Gear= HL,,,,549.00,,,,,,,,,
2,128,MA HP,10,6/18/2025,1519,,771,0,,,,64.89854,-148.81647,Gear= HL,yes,,yes,772.00,,,,,yes,,yes,,
2,129,MA HP,10,6/18/2025,1540,,520,0,,,,64.89082,-148.78697,Gear= HL,,,,524.00,,,,,,,,,
2,130,MA HP,10,6/18/2025,1547,,504,0,,,,64.89082,-148.78697,Gear= HL,,,,508.00,,,,,,,,,
2,131,MA HP,10,6/18/2025,1554,,530,0,,,,64.89082,-148.78697,Gear= HL,,,,534.00,,,,,,,,,
2,132,MA HP,10,6/18/2025,1703,,488,0,,,,64.89191,-148.83429,Gear= HL,,,,492.00,,,,,,,,,
2,133,MA HP,10,6/18/2025,1708,,607,0,,,,64.89191,-148.83429,Gear= HL,yes,yes,,610.00,,,,,yes,yes,,,
2,134,MA HP,10,6/18/2025,1709,,611,0,,,,64.89191,-148.83429,Gear= HL,yes,yes,,614.00,,,,,yes,yes,,,
2,135,MA HP,10,6/18/2025,1726,,465,0,,,,64.89191,-148.83429,Gear= HL,,,,470.00,,,,,,,,,
2,136,MA HP,10,6/18/2025,1730,,615,0,,,,64.89191,-148.83429,Gear= HL,yes,yes,,618.00,,,,,yes,yes,,,
2,137,MA HP,10,6/18/2025,1733,,567,0,,,,64.89191,-148.83429,Gear= HL,yes,,,570.00,,,,,yes,,,,
2,138,MA HP,10,6/18/2025,1734,,631,0,,,,64.89191,-148.83429,Gear= HL,yes,yes,,634.00,,,,,yes,yes,,,
2,139,MA HP,11,6/18/2025,1737,,543,0,,,,64.89191,-148.83429,Gear= HL,,,,547.00,,,,,,,,,
2,140,MA HP,11,6/18/2025,1738,,524,0,,,,64.89163,-148.83348,Gear= HL,,,,528.00,,,,,,,,,
2,141,MA HP,11,6/18/2025,1741,,555,0,,,,64.89163,-148.83348,Gear= HL,yes,,,559.00,,,,,yes,,,,
2,142,MA HP,11,6/18/2025,1744,,571,0,,,,64.89163,-148.83348,Gear= HL,yes,,,574.00,,,,,yes,,,,
2,143,MA HP,11,6/18/2025,1746,,492,0,,,,64.89163,-148.83348,Gear= HL,,,,496.00,,,,,,,,,
2,144,MA HP,11,6/18/2025,1748,,532,0,,,,64.89163,-148.83348,Gear= HL,,,,536.00,,,,,,,,,
2,145,MA HP,11,6/18/2025,1800,,560,0,,,,64.89163,-148.83348,Gear= HL,yes,,,564.00,,,,,yes,,,,
2,146,MA HP,11,6/18/2025,1800,,543,0,,,,64.89163,-148.83348,Gear= HL,,,,547.00,,,,,,,,,
2,147,MA HP,11,6/18/2025,1802,,556,0,,,,64.89163,-148.83348,Gear= HL,yes,,,560.00,,,,,yes,,,,
2,148,MA HP,11,6/18/2025,1804,,585,0,,,,64.89163,-148.83348,Gear= HL,yes,,,588.00,,,,,yes,,,,
2,149,MA HP,11,6/18/2025,1812,,482,0,,,,64.89133,-148.83174,Gear= HL,,,,486.00,,,,,,,,,
2,150,MA HP,11,6/18/2025,1812,,506,0,,,,64.89133,-148.83174,Gear= HL,,,,510.00,,,,,,,,,
2,151,MA HP,11,6/18/2025,1817,,426,0,,,,64.89133,-148.83174,Gear= HL,,,,431.00,,,,,,,,,
2,152,MA HP,11,6/18/2025,1818,,526,0,,,,64.89133,-148.83174,Gear= HL,,,,530.00,,,,,,,,,
2,153,MA HP,11,6/18/2025,1818,,560,0,,,,64.89133,-148.83174,Gear= HL,yes,,,564.00,,,,,yes,,,,
2,154,JS JRS,12,6/18/2025,1027,,592,0,,,,64.88762,-148.75143,Gear= HL,yes,,,595.00,,,,,yes,,,,
2,155,JS JRS,12,6/18/2025,1027,,604,0,,,,64.88762,-148.75143,Gear= HL,yes,yes,,607.00,,,,,yes,yes,,,
2,156,JS JRS,12,6/18/2025,1027,,529,0,,,,64.88762,-148.75143,Gear= HL,,,,533.00,,,,,,,,,
2,157,JS JRS,12,6/18/2025,1027,,513,0,,,,64.88762,-148.75143,Gear= HL,,,,517.00,,,,,,,,,
2,158,JS JRS,12,6/18/2025,1049,,520,0,,,,64.88696,-148.7506,Gear= HL,,,,524.00,,,,,,,,,
2,159,JS JRS,12,6/18/2025,1049,,533,0,,,,64.88696,-148.7506,Gear= HL,,,,537.00,,,,,,,,,
2,160,JS JRS,12,6/18/2025,1049,,519,0,,,,64.88696,-148.7506,Gear= HL,,,,523.00,,,,,,,,,
2,161,JS JRS,12,6/18/2025,1108,,551,0,,,,64.88625,-148.75394,Gear= HL,yes,,,555.00,,,,,yes,,,,
2,162,JS JRS,12,6/18/2025,1108,,483,0,,,,64.88625,-148.75394,Gear= HL,,,,487.00,,,,,,,,,
2,163,JS JRS,12,6/18/2025,1108,,580,0,,,,64.88625,-148.75394,Gear= HL,yes,,,583.00,,,,,yes,,,,
2,164,JS JRS,12,6/18/2025,1108,,550,0,,,,64.88625,-148.75394,Gear= HL,yes,,,554.00,,,,,yes,,,,
2,165,JS JRS,12,6/18/2025,1108,,564,0,,,,64.88625,-148.75394,Gear= HL,yes,,,568.00,,,,,yes,,,,
2,166,JS JRS,12,6/18/2025,1158,,545,0,,,,64.88409,-148.75986,Gear= HL,,,,549.00,,,,,,,,,
2,167,JS JRS,12,6/18/2025,1158,,561,0,,,,64.88409,-148.75986,Gear= HL,yes,,,565.00,,,,,yes,,,,
2,168,JS JRS,12,6/18/2025,1225,,527,0,,,,64.88251,-148.76288,Gear= HL,,,,531.00,,,,,,,,,
2,169,JS JRS,12,6/18/2025,1225,,591,0,,,,64.88251,-148.76288,Gear= HL,yes,,,594.00,,,,,yes,,,,
2,170,JS JRS,12,6/18/2025,1225,,511,0,,,,64.88251,-148.76288,Gear= HL,,,,515.00,,,,,,,,,
2,171,JS JRS,12,6/18/2025,1258,,565,0,,,,64.88595,-148.76604,Gear= HL,yes,,,568.00,,,,,yes,,,,
2,172,JS JRS,12,6/18/2025,1258,,540,0,,,,64.88595,-148.76604,Gear= HL,,,,544.00,,,,,,,,,
2,173,JS JRS,12,6/18/2025,1350,,562,0,,,,64.89038,-148.76125,Gear= HL,yes,,,566.00,,,,,yes,,,,
2,174,JS JRS,13,6/18/2025,1545,,532,0,,,,64.89802,-148.82579,Gear= HL,,,,536.00,,,,,,,,,
2,175,JS JRS,13,6/18/2025,1650,,443,0,,,,64.92957,-148.81522,Gear= HL,,,,448.00,,,,,,,,,
2,176,JS JRS,13,6/18/2025,1650,,817,0,,,,64.92957,-148.81522,Gear= HL,yes,,yes,818.00,,,,,yes,,yes,,
2,177,JS JRS,13,6/18/2025,1740,20717,591,1,,,,64.93215,-148.80057,RECAP;  Gear= HL,yes,,,593.00,CROA,64.98491,-148.88188,-2,yes,,,,
2,178,JS JRS,13,6/18/2025,1740,,587,0,,,,64.93215,-148.80057,Gear= HL,yes,,,590.00,,,,,yes,,,,
2,179,JS JRS,13,6/18/2025,1740,,493,0,,,,64.93215,-148.80057,Gear= HL,,,,497.00,,,,,,,,,
2,180,JS JRS,13,6/18/2025,1800,,508,0,,,,64.93347,-148.80194,Gear= HL,,,,512.00,,,,,,,,,
2,181,JS JRS,13,6/18/2025,1800,,603,0,,,,64.93347,-148.80194,Gear= HL,yes,yes,,606.00,,,,,yes,yes,,,
2,182,JS JRS,13,6/18/2025,1800,,566,0,,,,64.93347,-148.80194,Gear= HL,yes,,,569.00,,,,,yes,,,,
2,183,JS JRS,13,6/18/2025,1800,,566,0,,,,64.93347,-148.80194,Gear= HL,yes,,,569.00,,,,,yes,,,,
2,184,JS JRS,13,6/18/2025,1800,,569,0,,,,64.93347,-148.80194,Gear= HL,yes,,,572.00,,,,,yes,,,,
2,185,BC RS,14,6/18/2025,1033,,516,0,,,,64.89847,-148.81212,Gear= HL,,,,520.00,,,,,,,,,
2,186,BC RS,14,6/18/2025,1124,,538,0,,,,64.90358,-148.80318,Gear= HL,,,,542.00,,,,,,,,,
2,187,BC RS,14,6/18/2025,1140,,565,0,,,,64.90358,-148.80318,Gear= HL,yes,,,568.00,,,,,yes,,,,
2,188,BC RS,14,6/18/2025,1145,,558,0,,,,64.90358,-148.80318,Gear= HL,yes,,,562.00,,,,,yes,,,,
2,189,BC RS,14,6/18/2025,1146,,595,0,,,,64.90358,-148.80318,Gear= HL,yes,,,598.00,,,,,yes,,,,
2,190,BC RS,14,6/18/2025,1155,,562,0,,,,64.90358,-148.80318,Gear= HL,yes,,,566.00,,,,,yes,,,,
2,191,BC RS,14,6/18/2025,1200,,557,0,,,,64.90559,-148.80348,Gear= HL,yes,,,561.00,,,,,yes,,,,
2,192,BC RS,14,6/18/2025,1205,,680,0,,,,64.90559,-148.80348,Gear= HL,yes,yes,,682.00,,,,,yes,yes,,,
2,193,BC RS,14,6/18/2025,1210,21764,612,1,,,,64.90559,-148.80348,RECAP;  Gear= HL,yes,yes,,620.00,CROA,64.986462,-148.873679,-8,yes,yes,,,
2,194,BC RS,14,6/18/2025,1215,,611,0,,,,64.90559,-148.80348,Gear= HL,yes,yes,,614.00,,,,,yes,yes,,,
2,195,BC RS,14,6/18/2025,1215,,568,0,,,,64.90559,-148.80348,Gear= HL,yes,,,571.00,,,,,yes,,,,
2,196,BC RS,14,6/18/2025,1220,,528,0,,,,64.90559,-148.80348,Gear= HL,,,,532.00,,,,,,,,,
2,197,BC RS,14,6/18/2025,1221,,541,0,,,,64.90559,-148.80348,Gear= HL,,,,545.00,,,,,,,,,
2,198,BC RS,14,6/18/2025,1223,,545,0,,,,64.90559,-148.80348,Gear= HL,,,,549.00,,,,,,,,,
2,199,BC RS,14,6/18/2025,1225,,574,0,,,,64.90559,-148.80348,Gear= HL,yes,,,577.00,,,,,yes,,,,
2,200,BC RS,14,6/18/2025,1230,,522,0,,,,64.90559,-148.80348,Gear= HL,,,,526.00,,,,,,,,,
2,201,BC RS,14,6/18/2025,1240,,590,0,,,,64.90559,-148.80348,Gear= HL,yes,,,593.00,,,,,yes,,,,
2,202,BC RS,14,6/18/2025,1250,,525,0,,,,64.90559,-148.80348,Gear= HL,,,,529.00,,,,,,,,,
